x,y
1.13281,1623.77
0.00390625,1628.79
0.699219,1633.84
3.20703,1638.87
7.50391,1643.82
13.5781,1648.63
19.3945,1652.2
21.4102,1653.24
24.0898,1654.62
32.3555,1658.35
45.5,1663.52
60.8047,1668.75
78.2188,1674
97.6914,1679.29
119.184,1684.6
142.641,1689.92
168.02,1695.23
195.27,1700.55
224.352,1705.84
255.211,1711.1
287.801,1716.33
322.082,1721.51
358,1726.63
395.512,1731.69
424.801,1735.46
434.57,1736.68
442.352,1737.64
465.773,1740.01
502.461,1743
543.816,1745.63
589.039,1747.91
637.32,1749.81
687.852,1751.34
739.828,1752.47
792.445,1753.22
844.895,1753.56
896.367,1753.49
946.059,1753
993.164,1752.08
1036.88,1750.72
1076.38,1748.92
1110.88,1746.66
1132.41,1744.77
1139.57,1743.95
1144.36,1743.4
1158.7,1741.63
1179.73,1738.89
1202.28,1735.79
1225.99,1732.38
1250.46,1728.73
1275.34,1724.9
1300.23,1720.96
1324.78,1716.96
1348.59,1712.97
1371.3,1709.05
1392.53,1705.27
1411.91,1701.68
1429.05,1698.35
1443.58,1695.33
1455.13,1692.7
1461.29,1691.13
1463.32,1690.51
1464.16,1690.26
1466.8,1689.96
1469.98,1690.64
1472.96,1692.72
1475.83,1696.37
1478.7,1701.75
1481.69,1709.02
1484.88,1718.36
1487.55,1727.02
1488.4,1729.92
1490.01,1735.47
1495.25,1752
1502.38,1771.68
1510.15,1789.56
1518.89,1806.25
1528.97,1822.38
1540.72,1838.53
1554.5,1855.32
1566.55,1868.91
1570.66,1873.36
1572.75,1875.62
1578.98,1882.44
1586.74,1891.09
1593.77,1899.11
1599.91,1906.3
1604.97,1912.46
1608.8,1917.38
1611.22,1920.86
1612.07,1922.24
1612.07,1922.7
1612.07,1923.34
1610.75,1925.27
1606.99,1930.85
1601.03,1939.09
1593.16,1949.63
1583.62,1962.14
1572.69,1976.26
1560.63,1991.64
1550.94,2003.87
1547.7,2007.93
1531.38,2028.36
1484.23,2091.11
1422.86,2179.11
1363.64,2271.79
1306.64,2369.03
1251.94,2470.7
1199.61,2576.69
1149.7,2686.86
1113.7,2772.36
1102.3,2801.09
1097.97,2812
1085.25,2844.82
1069.21,2887.54
1054.23,2929.03
1040.37,2969.06
1027.68,3007.42
1016.23,3043.88
1006.08,3078.21
997.281,3110.2
989.895,3139.63
983.977,3166.27
979.586,3189.91
976.785,3210.31
975.629,3227.27
976.176,3240.55
978.488,3249.93
981.285,3254.37
982.621,3255.2
984.047,3256.08
989.242,3257.25
997.473,3256.21
1007.34,3252.04
1018.87,3244.72
1032.1,3234.23
1047.05,3220.57
1063.75,3203.69
1077.69,3188.68
1082.23,3183.59
1090.37,3174.47
1114.13,3146.51
1147.21,3105.5
1181.22,3061
1215.9,3013.43
1250.98,2963.21
1286.2,2910.77
1321.3,2856.55
1356.02,2800.96
1390.08,2744.44
1423.24,2687.42
1455.23,2630.31
1485.79,2573.56
1514.65,2517.58
1541.55,2462.81
1566.24,2409.67
1583.07,2371.43
1588.44,2358.59
1590.2,2354.37
1595.38,2341.67
1602.71,2323.14
1610.39,2303.2
1618.31,2282.09
1626.42,2260
1634.64,2237.17
1642.88,2213.8
1651.09,2190.11
1659.19,2166.33
1667.09,2142.66
1674.73,2119.32
1682.03,2096.52
1688.92,2074.49
1695.32,2053.45
1701.16,2033.59
1705.1,2019.77
1706.37,2015.16
1707.25,2011.97
1709.98,2002.42
1713.14,1992.51
1716.04,1985.13
1718.87,1980.02
1721.83,1976.88
1725.12,1975.44
1728.94,1975.41
1732.37,1976.16
1733.48,1976.52
1738.54,1978.13
1754.14,1981.67
1778.38,1985.39
1804.96,1987.65
1832.71,1988.46
1860.42,1987.82
1886.88,1985.73
1910.89,1982.17
1926.26,1978.73
1931.25,1977.15
1931.84,1976.96
1933.65,1976.52
1935.88,1976.28
1937.98,1976.53
1940,1977.36
1941.98,1978.85
1943.96,1981.09
1945.99,1984.17
1948.11,1988.19
1950.36,1993.22
1952.79,1999.37
1955.43,2006.71
1958.34,2015.34
1961.55,2025.35
1965.11,2036.82
1969.05,2049.86
1972.35,2060.86
1973.44,2064.53
1979.6,2085.25
1999.22,2147.05
2026.88,2227.31
2056.72,2306.01
2089.05,2383.85
2124.18,2461.55
2162.41,2539.8
2204.05,2619.3
2237.83,2680.55
2249.41,2700.78
2255.91,2712.13
2275.74,2746
2302.88,2791.13
2330.64,2835.86
2358.78,2879.9
2387.11,2922.97
2415.4,2964.77
2443.44,3005.02
2471.02,3043.41
2497.93,3079.66
2523.96,3113.48
2548.89,3144.57
2572.5,3172.64
2594.59,3197.4
2614.94,3218.56
2633.34,3235.83
2645.35,3245.86
2649.57,3248.91
2651.19,3250.07
2656.1,3253.5
2661.39,3256.86
2665.7,3258.99
2669.34,3259.94
2672.56,3259.73
2675.67,3258.39
2678.94,3255.96
2681.76,3253.36
2682.66,3252.46
2683.59,3251.53
2685.64,3247.99
2687.69,3241.58
2688.82,3233.3
2689.06,3223.22
2688.44,3211.43
2686.97,3197.99
2684.69,3182.99
2681.63,3166.5
2677.79,3148.59
2673.23,3129.35
2667.95,3108.85
2661.98,3087.16
2655.35,3064.37
2648.09,3040.54
2640.21,3015.76
2631.75,2990.09
2622.74,2963.63
2613.19,2936.43
2603.13,2908.59
2592.59,2880.16
2581.59,2851.24
2570.16,2821.9
2558.33,2792.21
2546.11,2762.25
2533.54,2732.09
2520.64,2701.82
2507.44,2671.5
2493.96,2641.21
2480.23,2611.04
2466.27,2581.06
2452.11,2551.33
2441.39,2529.28
2437.77,2521.95
2432.77,2511.84
2417.62,2481.59
2397.98,2443.15
2378.73,2406.42
2359.73,2371.2
2340.88,2337.3
2322.03,2304.54
2303.07,2272.69
2283.88,2241.57
2264.34,2211
2244.31,2180.75
2223.68,2150.65
2202.32,2120.5
2180.11,2090.09
2156.93,2059.23
2132.65,2027.73
2113.56,2003.44
2107.15,1995.39
2048.44,1921.68
2084.84,1885.82
2088.74,1881.97
2099.8,1869.76
2114.41,1851.56
2128.36,1831.73
2141.38,1810.76
2153.16,1789.15
2163.42,1767.41
2171.86,1746.03
2176.85,1730.7
2178.2,1725.51
2179.14,1721.89
2182.68,1711.21
2187.6,1700.54
2192.71,1693.95
2196.52,1691.82
2197.73,1691.91
2198.82,1691.99
2202.07,1692.47
2210.42,1693.78
2222.28,1695.75
2237.16,1698.3
2254.56,1701.33
2274.01,1704.78
2295.01,1708.54
2311.55,1711.54
2317.07,1712.54
2325.55,1714.08
2351.01,1718.6
2383.27,1724.09
2414.13,1729.04
2443.87,1733.48
2472.77,1737.42
2501.11,1740.89
2529.17,1743.91
2557.25,1746.52
2585.6,1748.72
2614.53,1750.55
2644.31,1752.03
2675.22,1753.18
2707.55,1754.03
2741.57,1754.6
2777.56,1754.91
2806.25,1755
2815.82,1755
2831.18,1754.99
2877.25,1754.59
2937.62,1753.43
2996.82,1751.53
3054.72,1748.91
3111.2,1745.59
3166.14,1741.56
3219.4,1736.86
3270.88,1731.49
3320.43,1725.47
3367.95,1718.81
3413.3,1711.52
3456.37,1703.63
3497.03,1695.13
3535.16,1686.05
3570.63,1676.41
3595.2,1668.93
3603.32,1666.21
3607.34,1664.86
3619.34,1660.6
3632.98,1655.3
3644.27,1650.26
3653.21,1645.44
3659.84,1640.79
3664.18,1636.25
3666.25,1631.79
3666.39,1628.38
3666.09,1627.34
3666.09,1627.34
3666.09,1627.34
